"","Time","Price"
"1",1,3893.30386902422
"2",2,3472.26860730038
"3",3,3141.07980616867
"4",4,3322.43167006611
"5",5,3123.19526166107
"6",6,3358.50543475932
"7",7,3352.28866558756
"8",8,3309.95096405943
"9",9,2951.22678422821
"10",10,3347.54095493599
"11",11,3564.12120409371
"12",12,3265.72429909795
"13",13,3459.38165255357
"14",14,3554.36384938359
"15",15,3120.78029089778
"16",16,3489.84314159701
"17",17,3218.82089363129
"18",18,3513.45358248638
"19",19,3654.49295631883
"20",20,3157.04413175362
"21",21,3352.05670099816
"22",22,3331.84602357432
"23",23,3038.37511112038
"24",24,3291.98320863853
"25",25,3518.33574003277
"26",26,3149.82108815658
"27",27,3147.77188973222
"28",28,2861.07956020191
"29",29,3153.64029812249
"30",30,3416.7152333783
"31",31,3383.71367338085
"32",32,3535.04119303276
"33",33,3484.88214333566
"34",34,3076.98170928269
"35",35,3398.99342367044
"36",36,3373.3195547154
"37",37,3072.66269212422
"38",38,3033.32764040676
"39",39,3074.58169830879
"40",40,3020.8041400161
"41",41,3046.34580891322
"42",42,3420.8095795973
"43",43,3185.69214104242
"44",44,3128.66886704769
"45",45,3297.10666358581
"46",46,2942.71379044563
"47",47,3261.80990147327
"48",48,3012.7549153729
"49",49,3180.9911556527
"50",50,3168.78105366755
"51",51,3416.921247548
"52",52,2842.42041241248
"53",53,2741.01655532598
"54",54,3129.43510511495
"55",55,3132.40572509891
"56",56,3078.96378032701
"57",57,2745.43596787619
"58",58,3153.82713560875
"59",59,3224.85196322043
"60",60,3385.01061601113
"61",61,3100.46120690315
"62",62,2876.1149638043
"63",63,3249.71618586828
"64",64,2714.83263117071
"65",65,3180.44984581384
"66",66,2697.56505819339
"67",67,3033.7719893007
"68",68,2908.77400202081
"69",69,2983.16148377234
"70",70,2824.84676678336
"71",71,2695.44501568661
"72",72,2693.48016428138
"73",73,2989.16298986513
"74",74,3046.92635239049
"75",75,2570.89143851265
"76",76,2925.38252331509
"77",77,3378.51535595185
"78",78,2842.91548926508
"79",79,2701.83462191964
"80",80,2857.47142179023
"81",81,2916.66954901732
"82",82,2614.66656622772
"83",83,2866.01621279268
"84",84,3153.79361784607
"85",85,2804.67867874046
"86",86,2886.60029922468
"87",87,3031.79641814744
"88",88,2710.69179637833
"89",89,3067.95950439703
"90",90,2549.74084253971
"91",91,2662.65005170034
"92",92,2721.12022005344
"93",93,2451.50209602325
"94",94,2712.00011191235
"95",95,2944.71258929469
"96",96,2793.5407157769
"97",97,2302.71700337684
"98",98,2781.34668695106
"99",99,2996.08066027476
"100",100,2528.74650064431
"101",101,2302.67587280804
"102",102,2310.07885144757
"103",103,2603.78376397472
"104",104,2499.49322669965
"105",105,2659.57696628898
"106",106,2540.75429452191
"107",107,2504.6649915915
"108",108,2772.31642610563
"109",109,2329.39720961358
"110",110,2512.29882486207
"111",111,2541.25536252133
"112",112,2661.727485824
"113",113,2513.96704644172
"114",114,2508.90183186956
"115",115,2377.13838332788
"116",116,2451.93749677993
"117",117,2830.61404304284
